"Had Obesity(students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts) High School Youth Risk Behavior Survey, 2011",,,,,,,,,,,,
Location %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
National,,,,,,,,,,,,
United States ,13.0†,11.7,14.4,"14,285",9.8,8.5,11.2,"7,164",16.1,14.4,17.9,"7,121"
States,,,,,,,,,,,,
Alabama ,17.0,13.5,21.2,"1,288",14.3,10.4,19.3,670,19.7,15.6,24.6,618
Alaska ,11.5,9.7,13.7,"1,277",8.8,6.7,11.5,654,14.1,11.1,17.8,623
Arizona ,10.9,9.1,12.9,"2,688",6.9,5.4,8.7,"1,337",14.6,11.9,17.8,"1,351"
Arkansas ,15.2,13.2,17.4,"1,276",10.3,7.9,13.3,644,19.8,16.5,23.7,632
California ,,,,,,,,,,,,
Colorado ,7.3,5.3,10.1,"1,362",2.6,1.2,5.5,644,11.7,8.8,15.5,718
Connecticut ,12.5,10.1,15.5,"1,965",8.4,6.2,11.3,998,16.5,13.6,19.9,967
Delaware ,12.2,10.8,13.8,"2,095",9.5,7.7,11.7,"1,002",14.9,12.8,17.3,"1,093"
Florida ,11.5,10.4,12.7,"5,323",7.7,6.6,9.0,"2,804",15.2,13.7,16.9,"2,519"
Georgia ,15.0,12.8,17.4,"1,857",11.7,9.3,14.5,894,18.2,15.4,21.3,963
Hawaii ,13.2,11.0,15.7,"4,123",8.7,6.2,12.0,"2,207",17.7,15.4,20.1,"1,916"
Idaho ,9.2,7.8,10.9,"1,653",6.9,4.9,9.6,866,11.4,9.2,14.0,787
Illinois ,11.6,10.0,13.3,"3,443",7.1,5.6,8.9,"1,718",15.9,13.4,18.8,"1,725"
Indiana ,14.7,13.1,16.6,"2,746",11.5,9.5,13.8,"1,433",17.8,14.7,21.4,"1,313"
Iowa ,13.2,10.4,16.7,"1,432",10.1,7.7,13.3,745,16.2,12.1,21.3,687
Kansas ,10.2,8.8,11.8,"1,827",8.0,6.2,10.3,975,12.3,10.2,14.8,852
Kentucky ,16.5,14.1,19.1,"1,700",12.1,9.8,14.9,838,20.6,17.3,24.5,862
Louisiana ,16.1,13.7,18.9,"1,054",13.8,9.0,20.5,587,18.6,14.4,23.8,467
Maine ,11.5,10.2,13.0,"8,597",7.7,6.4,9.2,"4,251",15.0,13.4,16.8,"4,346"
Maryland ,12.0,10.4,13.7,"2,739",10.5,8.1,13.5,"1,434",13.4,11.5,15.5,"1,305"
Massachusetts ,9.9,8.3,11.8,"2,618",6.2,4.6,8.3,"1,290",13.5,11.4,15.9,"1,328"
Michigan ,12.1,10.6,13.8,"4,038",8.1,6.6,9.8,"2,019",15.8,13.7,18.2,"2,019"
Mississippi ,15.8,13.7,18.1,"1,732",13.5,11.0,16.4,924,18.2,15.2,21.5,808
Missouri ,,,,,,,,,,,,
Montana ,8.5,7.5,9.6,"4,035",5.4,4.5,6.4,"2,045",11.4,9.7,13.3,"1,990"
Nebraska ,11.6,10.5,12.8,"3,471",8.0,6.7,9.4,"1,803",15.0,13.3,16.8,"1,668"
Nevada ,,,,,,,,,,,,
New Hampshire ,12.1,10.5,13.9,"1,314",9.4,7.0,12.4,636,14.6,12.1,17.6,678
New Jersey ,11.0,9.2,13.2,"1,626",7.4,5.6,9.6,888,14.7,11.3,18.8,738
New Mexico ,12.8,10.9,15.1,"5,543",7.8,6.8,9.0,"2,775",17.5,14.5,21.0,"2,768"
New York ,11.0,9.8,12.3,"12,142",8.0,6.7,9.6,"6,366",13.9,12.4,15.7,"5,776"
North Carolina ,12.9,10.1,16.4,"2,194",10.9,7.9,14.8,"1,166",14.8,11.6,18.6,"1,028"
North Dakota ,11.0,9.4,12.8,"1,871",7.4,5.4,10.0,951,14.4,11.7,17.4,920
Ohio ,14.7,11.9,18.0,"1,367",11.8,9.0,15.4,678,17.4,13.6,22.0,689
Oklahoma ,16.7,13.9,19.9,"1,084",15.5,12.3,19.5,572,17.9,13.8,22.9,512
Pennsylvania ,,,,,,,,,,,,
Rhode Island ,10.8,8.8,13.3,"3,775",8.4,6.3,11.1,"1,925",13.2,10.1,17.2,"1,850"
South Carolina ,13.3,10.6,16.5,"1,416",8.4,5.8,12.0,659,18.1,14.5,22.2,757
South Dakota ,9.8,8.0,11.9,"1,487",7.5,5.2,10.7,794,12.0,9.9,14.6,693
Tennessee ,15.2,13.7,16.9,"2,447",12.4,10.3,14.8,"1,269",17.9,15.5,20.5,"1,178"
Texas ,15.6,13.7,17.6,"3,980",11.9,9.9,14.2,"1,960",19.0,16.4,21.9,"2,020"
Utah ,8.6,7.1,10.4,"1,650",4.8,3.2,7.0,789,12.2,10.3,14.4,861
Vermont ,9.9,8.1,12.0,"7,667",6.4,4.6,8.6,"3,797",13.2,11.2,15.6,"3,870"
Virginia ,11.1,8.8,13.8,"1,380",10.7,8.1,14.1,697,11.4,8.9,14.5,683
West Virginia ,14.6,12.4,17.2,"2,036",9.5,7.1,12.6,"1,031",19.5,16.3,23.1,"1,005"
Wisconsin ,10.4,9.0,12.1,"2,969",6.8,5.6,8.4,"1,487",13.9,11.7,16.4,"1,482"
Wyoming ,11.1,9.8,12.5,"2,413",7.0,5.5,8.8,"1,232",14.9,13.0,17.0,"1,181"
Local School Districts,,,,,,,,,,,,
"Albuquerque, NM ",,,,,,,,,,,,
"Baltimore, MD ",,,,,,,,,,,,
"Borough of Bronx, NY ",14.8,13.4,16.3,"2,491",12.6,10.4,15.1,"1,204",16.8,14.8,18.9,"1,287"
"Borough of Brooklyn, NY ",12.8,10.4,15.5,"2,367",11.3,9.0,14.1,"1,098",14.1,10.6,18.4,"1,269"
"Borough of Manhattan, NY ",10.1,7.0,14.3,"2,344",7.9,4.5,13.4,"1,471",12.9,9.9,16.6,873
"Borough of Queens, NY ",9.0,7.6,10.6,"1,732",6.0,4.6,7.6,906,11.8,9.5,14.4,826
"Borough of Staten Island, NY ",13.2,10.0,17.2,"1,565",7.3,4.8,11.0,855,18.8,14.4,24.2,710
"Boston, MA ",14.3,11.9,17.1,951,14.2,11.0,18.3,468,14.4,11.4,18.0,483
"Broward County, FL ",9.5,7.8,11.4,"1,442",6.7,4.8,9.2,691,12.1,10.0,14.6,751
"Charlotte-Mecklenburg County, NC ",12.8,10.9,15.0,"1,468",11.9,9.6,14.7,686,13.6,11.0,16.8,782
"Chicago, IL ",15.5,13.8,17.4,"1,776",11.8,9.8,14.1,878,19.5,16.9,22.5,898
"Cleveland, OH ",,,,,,,,,,,,
"Dallas, TX ",15.3,12.9,17.9,"1,127",13.0,10.1,16.4,611,17.6,14.4,21.4,516
"DeKalb County, GA ",,,,,,,,,,,,
"Denver, CO ",,,,,,,,,,,,
"Detroit, MI ",18.9,17.0,20.9,"2,182",19.0,16.6,21.7,"1,243",18.7,16.1,21.7,939
District of Columbia ,,,,,,,,,,,,
"Duval County, FL ",11.9,10.6,13.3,"3,106",9.1,7.7,10.8,"1,620",14.7,12.7,16.9,"1,486"
"Eaton Consortium, MI ",,,,,,,,,,,,
"Fort Worth, TX ",,,,,,,,,,,,
"Gaston County, NC ",,,,,,,,,,,,
"Genesee Consortium, MI ",,,,,,,,,,,,
"Hillsborough County, FL ",,,,,,,,,,,,
"Houston, TX ",13.6,12.1,15.4,"2,019",11.4,9.4,13.9,"1,014",15.7,13.5,18.2,"1,005"
"Los Angeles, CA ",13.3,11.4,15.3,"1,628",6.3,5.0,7.9,824,19.8,16.7,23.2,804
"Memphis, TN ",18.4,16.4,20.6,"1,333",18.4,15.4,21.8,696,18.5,15.5,21.9,637
"Miami-Dade County, FL ",12.7,11.2,14.4,"2,017",9.6,7.8,11.8,"1,078",16.0,13.6,18.7,939
"Milwaukee, WI ",17.0,15.4,18.7,"1,773",15.0,12.9,17.3,913,18.9,16.7,21.4,860
"New Orleans, LA ",,,,,,,,,,,,
"New York City, NY ",11.6,10.6,12.8,"10,499",9.1,7.8,10.6,"5,534",14.1,12.7,15.6,"4,965"
"Newark, NJ ",,,,,,,,,,,,
"Oakland, CA ",,,,,,,,,,,,
"Orange County, FL ",10.0,8.2,12.1,"1,373",7.4,5.4,10.2,684,12.6,9.9,15.8,689
"Palm Beach County, FL ",9.3,8.0,10.9,"1,957",6.8,5.3,8.6,"1,039",11.8,9.6,14.5,918
"Pasco County, FL ",,,,,,,,,,,,
"Philadelphia, PA ",17.3,15.1,19.8,"1,439",15.0,12.4,18.0,768,19.7,16.3,23.7,671
"Portland, OR ",,,,,,,,,,,,
"San Bernardino, CA ",15.2,13.2,17.4,"1,313",12.4,10.0,15.3,672,18.0,15.1,21.3,641
