"Had Obesity(students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts) High School Youth Risk Behavior Survey, 2011",,,,,,,,,,,,
Location %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
"San Diego, CA ",11.4,9.6,13.4,"1,427",6.9,5.3,9.0,690,15.5,12.9,18.6,737
"San Francisco, CA ",7.4,5.8,9.4,"1,660",6.1,4.1,8.9,800,8.8,6.9,11.2,860
"Seattle, WA ",7.9,6.6,9.5,"1,705",6.2,4.6,8.3,827,9.5,7.5,11.9,878
"Shelby County, TN ",,,,,,,,,,,,
"Spartanburg County, SC ",,,,,,,,,,,,
Territories and Freely Associated States,,,,,,,,,,,,
American Samoa ,38.9,37.2,40.7,"2,822",37.3,34.9,39.7,"1,388",40.4,38.0,42.9,"1,434"
Guam ,15.4,13.1,18.1,"1,534",12.6,9.7,16.2,705,17.9,14.6,21.6,829
Marshall Islands ,,,,,,,,,,,,
Northern Mariana Islands ,13.5,12.2,14.9,"2,392",11.1,9.4,13.0,"1,157",15.7,13.8,17.7,"1,235"
Palau ,12.0,10.6,13.6,436,11.5,9.6,13.8,224,12.5,10.5,14.9,212
Puerto Rico ,11.8,9.8,14.0,"1,418",11.5,8.8,14.9,772,12.1,9.7,14.9,646
Tribes,,,,,,,,,,,,
Nez Perce ,11.8,9.5,14.6,511,8.3,5.7,12.1,243,15.0,11.5,19.3,268
,,,,,,,,,,,,
,,,,,,,,,,,,
"† Percentage, confidence interval, cell size",,,,,,,,,,,,
