"Had Obesity(students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts) High School Youth Risk Behavior Survey, 2015",,,,,,,,,,,,
Location %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
Nebraska ,13.0,11.1,15.2,"1,629",9.3,7.1,12.2,825,16.5,13.9,19.5,804
Nevada ,12.2,10.3,14.4,"1,398",6.3,4.5,8.9,718,17.8,14.4,21.8,680
New Hampshire ,12.2,11.5,13.0,"13,671",7.9,7.1,8.8,"6,793",16.3,15.0,17.6,"6,878"
New Jersey ,,,,,,,,,,,,
New Mexico ,15.6,14.8,16.5,"7,873",11.6,10.3,13.0,"4,043",19.5,18.2,20.8,"3,830"
New York ,13.1,11.6,14.8,"9,521",10.1,8.3,12.3,"4,981",16.1,14.3,18.1,"4,540"
North Carolina ,16.4,13.8,19.5,"5,634",12.5,9.5,16.3,"2,792",20.2,17.1,23.7,"2,842"
North Dakota ,14.0,12.5,15.7,"2,080",8.6,7.2,10.2,"1,029",19.1,16.8,21.6,"1,051"
Ohio ,,,,,,,,,,,,
Oklahoma ,17.3,14.4,20.6,"1,528",12.9,9.2,17.8,740,22.0,18.1,26.4,788
Pennsylvania ,14.0,12.3,15.8,"2,741",12.4,10.4,14.9,"1,356",15.4,12.8,18.4,"1,385"
Rhode Island ,12.0,9.8,14.5,"3,210",7.6,5.2,10.9,"1,632",16.2,13.8,18.9,"1,578"
South Carolina ,16.3,14.5,18.2,"1,277",13.4,10.9,16.3,654,19.0,15.1,23.7,623
South Dakota ,14.7,12.2,17.6,"1,258",10.3,6.7,15.6,649,18.8,16.7,21.2,609
Tennessee ,18.6,16.7,20.7,"3,923",14.2,12.0,16.7,"2,021",22.7,20.1,25.4,"1,902"
Texas ,,,,,,,,,,,,
Utah ,,,,,,,,,,,,
Vermont ,12.4,11.9,12.9,"18,505",8.6,8.0,9.2,"9,238",16.1,15.4,16.9,"9,267"
Virginia ,13.0,11.3,14.9,"4,109",11.4,9.0,14.3,"2,037",14.5,12.6,16.5,"2,072"
West Virginia ,17.9,15.1,21.2,"1,541",12.2,9.0,16.4,781,23.4,20.3,26.8,760
Wisconsin ,,,,,,,,,,,,
Wyoming ,11.0,9.5,12.6,"2,277",8.0,6.6,9.6,"1,131",13.8,11.4,16.6,"1,146"
Local School Districts,,,,,,,,,,,,
"Albuquerque, NM ",,,,,,,,,,,,
"Baltimore, MD ",17.0,14.4,20.0,914,17.9,13.9,22.7,474,16.2,12.5,20.8,440
"Borough of Bronx, NY ",16.6,12.8,21.1,"1,475",14.3,10.6,19.0,746,18.6,14.7,23.1,729
"Borough of Brooklyn, NY ",11.8,9.7,14.2,"2,025",8.4,5.6,12.5,"1,116",14.9,11.5,19.0,909
"Borough of Manhattan, NY ",11.9,9.1,15.4,"1,294",12.3,8.9,16.9,701,11.4,8.5,15.1,593
"Borough of Queens, NY ",10.8,9.0,13.0,"1,383",9.4,6.8,12.7,643,12.2,9.0,16.2,740
"Borough of Staten Island, NY ",12.5,10.2,15.2,"1,176",9.4,6.8,12.9,544,15.4,12.7,18.5,632
"Boston, MA ",14.6,12.5,16.9,"1,512",11.7,9.5,14.4,752,17.2,14.2,20.7,760
"Broward County, FL ",10.3,8.7,12.1,"1,280",8.8,6.7,11.6,625,11.6,9.4,14.3,655
"Charlotte-Mecklenburg County, NC ",,,,,,,,,,,,
"Chicago, IL ",,,,,,,,,,,,
"Cleveland, OH ",17.9,16.2,19.8,"1,522",17.6,14.8,20.8,747,18.2,16.0,20.7,775
"Dallas, TX ",,,,,,,,,,,,
"DeKalb County, GA ",11.7,10.2,13.4,"1,768",12.4,10.2,15.1,930,11.0,9.0,13.5,838
"Denver, CO ",,,,,,,,,,,,
"Detroit, MI ",22.5,20.1,25.2,"1,658",21.2,18.4,24.2,955,24.2,20.7,28.0,703
District of Columbia ,15.1,14.4,15.9,"8,974",14.4,13.4,15.5,"4,725",15.9,14.7,17.0,"4,249"
"Duval County, FL ",13.1,11.8,14.5,"3,251",10.2,8.6,12.1,"1,700",16.1,14.1,18.4,"1,551"
"Eaton Consortium, MI ",,,,,,,,,,,,
"Fort Worth, TX ",17.9,16.1,19.8,"2,314",14.0,12.0,16.3,"1,180",21.6,18.9,24.6,"1,134"
"Gaston County, NC ",,,,,,,,,,,,
"Genesee Consortium, MI ",,,,,,,,,,,,
"Hillsborough County, FL ",,,,,,,,,,,,
"Houston, TX ",16.8,15.3,18.4,"2,831",14.4,12.3,16.7,"1,471",19.0,17.0,21.2,"1,360"
"Los Angeles, CA ",13.3,10.9,16.1,"2,054",10.1,7.3,13.8,"1,010",16.6,14.3,19.2,"1,044"
"Memphis, TN ",,,,,,,,,,,,
"Miami-Dade County, FL ",11.6,10.0,13.5,"2,459",9.6,7.9,11.6,"1,211",13.6,11.0,16.8,"1,248"
"Milwaukee, WI ",,,,,,,,,,,,
"New Orleans, LA ",,,,,,,,,,,,
"New York City, NY ",12.4,11.3,13.7,"7,353",10.6,9.0,12.4,"3,750",14.2,12.6,15.9,"3,603"
"Newark, NJ ",,,,,,,,,,,,
"Oakland, CA ",16.1,13.8,18.7,"1,442",10.8,8.4,13.8,696,20.5,17.3,24.2,746
"Orange County, FL ",10.9,9.2,12.9,"1,323",7.8,5.9,10.1,697,14.0,11.5,17.0,626
"Palm Beach County, FL ",11.0,9.6,12.6,"2,190",9.2,7.5,11.1,"1,076",12.8,10.7,15.2,"1,114"
"Pasco County, FL ",,,,,,,,,,,,
"Philadelphia, PA ",13.7,12.1,15.5,"1,544",13.6,11.0,16.6,829,13.9,10.2,18.5,715
"Portland, OR ",,,,,,,,,,,,
"San Bernardino, CA ",,,,,,,,,,,,
"San Diego, CA ",11.5,10.0,13.2,"2,250",7.5,5.8,9.8,"1,042",15.3,13.0,17.9,"1,208"
"San Francisco, CA ",9.9,8.4,11.6,"1,867",5.9,4.3,8.0,938,13.6,11.4,16.2,929
"Seattle, WA ",,,,,,,,,,,,
"Shelby County, TN ",,,,,,,,,,,,
"Spartanburg County, SC ",,,,,,,,,,,,
Territories and Freely Associated States,,,,,,,,,,,,
American Samoa ,,,,,,,,,,,,
Guam ,20.4,17.6,23.5,"1,215",16.4,13.1,20.3,544,23.7,19.8,27.9,671
Marshall Islands ,,,,,,,,,,,,
Northern Mariana Islands ,16.0,14.7,17.4,"2,256",14.5,12.7,16.5,"1,054",17.3,15.5,19.3,"1,202"
Palau ,,,,,,,,,,,,
Puerto Rico ,11.1,9.1,13.3,"1,512",10.3,7.6,13.9,766,11.9,9.4,14.9,746
Tribes,,,,,,,,,,,,
Nez Perce ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"† Percentage, confidence interval, cell size",,,,,,,,,,,,
