"Had Obesity(students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts) High School Youth Risk Behavior Survey, 2015",,,,,,,,,,,,
Location %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
National,,,,,,,,,,,,
United States ,13.9†,12.5,15.5,"14,358",10.8,9.3,12.5,"7,145",16.8,14.8,19.0,"7,213"
States,,,,,,,,,,,,
Alabama ,16.1,13.5,19.1,"1,480",13.5,9.9,18.2,717,18.6,16.0,21.6,763
Alaska ,14.0,11.9,16.5,"1,344",10.9,8.4,14.1,666,16.9,14.3,19.9,678
Arizona ,10.9,8.8,13.4,"2,386",7.0,4.7,10.4,"1,288",14.5,11.5,18.2,"1,098"
Arkansas ,18.0,16.1,20.1,"2,716",14.7,11.8,18.1,"1,439",21.3,18.6,24.4,"1,277"
California ,13.9,11.4,16.9,"1,793",9.2,7.3,11.6,936,18.5,15.2,22.3,857
Colorado ,,,,,,,,,,,,
Connecticut ,12.3,10.2,14.7,"2,249",9.3,6.9,12.5,"1,137",15.2,12.8,17.9,"1,112"
Delaware ,15.8,14.1,17.5,"2,421",13.3,11.1,15.8,"1,228",18.1,15.9,20.6,"1,193"
Florida ,12.3,11.2,13.4,"5,628",8.7,7.5,10.0,"2,863",15.8,14.4,17.3,"2,765"
Georgia ,,,,,,,,,,,,
Hawaii ,12.9,11.0,15.2,"5,645",8.1,6.6,9.9,"2,768",17.6,14.6,20.9,"2,877"
Idaho ,11.1,9.1,13.5,"1,688",7.4,5.5,10.0,846,14.5,11.7,17.9,842
Illinois ,12.6,10.9,14.6,"3,058",8.4,6.3,11.2,"1,514",16.7,14.5,19.1,"1,544"
Indiana ,13.6,11.8,15.7,"1,844",9.7,7.3,12.8,968,17.5,14.8,20.5,876
Iowa ,,,,,,,,,,,,
Kansas ,,,,,,,,,,,,
Kentucky ,18.5,16.4,20.8,"2,446",16.2,13.6,19.3,"1,261",20.6,17.6,24.1,"1,185"
Louisiana ,,,,,,,,,,,,
Maine ,13.3,11.9,14.9,"8,716",9.1,7.6,11.0,"4,321",17.2,15.7,18.9,"4,395"
Maryland ,11.5,11.1,12.0,"50,741",8.8,8.3,9.4,"25,528",14.1,13.5,14.7,"25,213"
Massachusetts ,11.0,9.4,12.8,"2,927",7.2,5.6,9.1,"1,466",14.7,12.1,17.6,"1,461"
Michigan ,14.3,12.6,16.2,"4,637",11.5,9.5,13.9,"2,443",17.0,15.2,19.0,"2,194"
Mississippi ,18.9,17.0,21.0,"2,023",16.2,14.0,18.5,"1,061",21.7,18.6,25.2,962
Missouri ,13.1,9.9,17.0,"1,431",10.3,6.5,16.0,662,15.9,13.3,19.1,769
Montana ,10.3,9.2,11.6,"4,329",7.4,6.3,8.7,"2,132",13.0,11.5,14.8,"2,197"
